Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:57:56.748963,12:57:59.259835,-1,-1.0
2,12:57:56.748963,12:57:59.314617,-1,-1.0
2,12:57:56.748963,12:57:59.461930,-1,-1.0
2,12:57:56.748963,12:57:59.538695,-1,-1.0
2,12:57:56.748963,12:57:59.647130,-1,-1.0
2,12:57:56.748963,12:57:59.736482,-1,-1.0
2,12:57:56.748963,12:57:59.837523,-1,-1.0
2,12:57:56.748963,12:57:59.936229,-1,-1.0
2,12:57:56.748963,12:58:00.036947,-1,-1.0
2,12:57:56.748963,12:58:00.136163,-1,-1.0
2,12:57:56.748963,12:58:00.235521,-1,-1.0
2,12:57:56.748963,12:58:00.335543,-1,-1.0
2,12:57:56.748963,12:58:00.437797,-1,-1.0
2,12:57:56.748963,12:58:00.552367,-1,-1.0
2,12:57:56.748963,12:58:00.635002,-1,-1.0
2,12:57:56.748963,12:58:00.745391,-1,-1.0
2,12:57:56.748963,12:58:00.849736,-1,-1.0
2,12:57:56.748963,12:58:00.935452,-1,-1.0
2,12:57:56.748963,12:58:01.030914,-1,-1.0
2,12:57:56.748963,12:58:01.129999,-1,-1.0
2,12:57:56.748963,12:58:01.230413,-1,-1.0
2,12:57:56.748963,12:58:01.352762,-1,-1.0
2,12:57:56.748963,12:58:01.431327,-1,-1.0
2,12:57:56.748963,12:58:01.530607,-1,-1.0
2,12:57:56.748963,12:58:01.630954,-1,-1.0
2,12:57:56.748963,12:58:01.730507,-1,-1.0
2,12:57:56.748963,12:58:01.831255,-1,-1.0
2,12:57:56.748963,12:58:01.950463,-1,-1.0
2,12:57:56.748963,12:58:02.004310,-1,-1.0
2,12:57:56.748963,12:58:02.154957,-1,-1.0
2,12:57:56.748963,12:58:02.233996,-1,-1.0
2,12:57:56.748963,12:58:02.351369,-1,-1.0
2,12:57:56.748963,12:58:02.430834,-1,-1.0
2,12:57:56.748963,12:58:02.526041,-1,-1.0
2,12:57:56.748963,12:58:02.625928,-1,-1.0
2,12:57:56.748963,12:58:02.740580,-1,-1.0
2,12:57:56.748963,12:58:02.828325,-1,-1.0
2,12:57:56.748963,12:58:02.926029,-1,-1.0
2,12:57:56.748963,12:58:03.025534,-1,-1.0
2,12:57:56.748963,12:58:03.125475,-1,-1.0
2,12:57:56.748963,12:58:03.225690,-1,-1.0
2,12:57:56.748963,12:58:03.326335,-1,-1.0
2,12:57:56.748963,12:58:03.425114,-1,-1.0
2,12:57:56.748963,12:58:03.525834,-1,-1.0
2,12:57:56.748963,12:58:03.625121,-1,-1.0
2,12:57:56.748963,12:58:03.725663,-1,-1.0
2,12:57:56.748963,12:58:03.826191,-1,-1.0
2,12:57:56.748963,12:58:03.924828,-1,-1.0
2,12:57:56.748963,12:58:04.024691,-1,-1.0
2,12:57:56.748963,12:58:04.121219,-1,-1.0
2,12:57:56.748963,12:58:04.222126,-1,-1.0
2,12:57:56.748963,12:58:04.321059,-1,-1.0
2,12:57:56.748963,12:58:04.419872,-1,-1.0
2,12:57:56.748963,12:58:04.544712,-1,-1.0
2,12:57:56.748963,12:58:04.622543,-1,-1.0
2,12:57:56.748963,12:58:04.742758,-1,-1.0
2,12:57:56.748963,12:58:04.827380,-1,-1.0
2,12:57:56.748963,12:58:04.920455,-1,-1.0
2,12:57:56.748963,12:58:05.020248,-1,-1.0
2,12:57:56.748963,12:58:05.142771,-1,-1.0
2,12:57:56.748963,12:58:05.223253,-1,-1.0
2,12:57:56.748963,12:58:05.337282,-1,-1.0
2,12:57:56.748963,12:58:05.420985,-1,-1.0
2,12:57:56.748963,12:58:05.520049,-1,-1.0
2,12:57:56.748963,12:58:05.638926,-1,-1.0
2,12:57:56.748963,12:58:05.718188,-1,-1.0
2,12:57:56.748963,12:58:05.815596,-1,-1.0
2,12:57:56.748963,12:58:05.916903,-1,-1.0
2,12:57:56.748963,12:58:06.015102,-1,-1.0
2,12:57:56.748963,12:58:06.115408,-1,-1.0
2,12:57:56.748963,12:58:06.214646,-1,-1.0
2,12:57:56.748963,12:58:06.316197,-1,-1.0
2,12:57:56.748963,12:58:06.414667,-1,-1.0
2,12:57:56.748963,12:58:06.534757,-1,-1.0
2,12:57:56.748963,12:58:06.614950,-1,-1.0
2,12:57:56.748963,12:58:06.738702,-1,-1.0
2,12:57:56.748963,12:58:06.817795,-1,-1.0
2,12:57:56.748963,12:58:06.914391,-1,-1.0
2,12:57:56.748963,12:58:07.034644,-1,-1.0
2,12:57:56.748963,12:58:07.087112,-1,-1.0
2,12:57:56.748963,12:58:07.233568,-1,-1.0
2,12:57:56.748963,12:58:07.311821,-1,-1.0
2,12:57:56.748963,12:58:07.409991,-1,-1.0
2,12:57:56.748963,12:58:07.510266,-1,-1.0
2,12:57:56.748963,12:58:07.612175,-1,-1.0
2,12:57:56.748963,12:58:07.710265,-1,-1.0
2,12:57:56.748963,12:58:07.832475,-1,-1.0
2,12:57:56.748963,12:58:07.911990,-1,-1.0
2,12:57:56.748963,12:58:08.009530,-1,-1.0
2,12:57:56.748963,12:58:08.109878,-1,-1.0
2,12:57:56.748963,12:58:08.209469,-1,-1.0
2,12:57:56.748963,12:58:08.309531,-1,-1.0
2,12:57:56.748963,12:58:08.409244,-1,-1.0
2,12:57:56.748963,12:58:08.509684,-1,-1.0
2,12:57:56.748963,12:58:08.609474,-1,-1.0
2,12:57:56.748963,12:58:08.706357,-1,-1.0
2,12:57:56.748963,12:58:08.825870,-1,-1.0
2,12:57:56.748963,12:58:08.897547,-1,-1.0
2,12:57:56.748963,12:58:09.005493,-1,-1.0
2,12:57:56.748963,12:58:09.105547,-1,-1.0
2,12:57:56.748963,12:58:09.207967,-1,-1.0
2,12:57:56.748963,12:58:09.305816,-1,-1.0
2,12:57:56.748963,12:58:09.417819,-1,-1.0
2,12:57:56.748963,12:58:09.506250,-1,-1.0
2,12:57:56.748963,12:58:09.606453,-1,-1.0
2,12:57:56.748963,12:58:09.706828,-1,-1.0
2,12:57:56.748963,12:58:09.828274,-1,-1.0
2,12:57:56.748963,12:58:09.878906,-1,-1.0
2,12:57:56.748963,12:58:10.023271,-1,-1.0
2,12:57:56.748963,12:58:10.106503,-1,-1.0
2,12:57:56.748963,12:58:10.205295,-1,-1.0
2,12:57:56.748963,12:58:10.301826,-1,-1.0
2,12:57:56.748963,12:58:10.400381,-1,-1.0
2,12:57:56.748963,12:58:10.515808,-1,-1.0
2,12:57:56.748963,12:58:10.601640,-1,-1.0
2,12:57:56.748963,12:58:10.700452,-1,-1.0
2,12:57:56.748963,12:58:10.800149,-1,-1.0
2,12:57:56.748963,12:58:10.899953,-1,-1.0
2,12:57:56.748963,12:58:10.999803,-1,-1.0
2,12:57:56.748963,12:58:11.120559,-1,-1.0
2,12:57:56.748963,12:58:11.201801,-1,-1.0
2,12:57:56.748963,12:58:11.299388,-1,-1.0
2,12:57:56.748963,12:58:11.400144,-1,-1.0
2,12:57:56.748963,12:58:11.498905,-1,-1.0
2,12:57:56.748963,12:58:11.599503,-1,-1.0
2,12:57:56.748963,12:58:11.699889,-1,-1.0
2,12:57:56.748963,12:58:11.796713,-1,-1.0
2,12:57:56.748963,12:58:11.895766,-1,-1.0
2,12:57:56.748963,12:58:11.995542,-1,-1.0
2,12:57:56.748963,12:58:12.095590,-1,-1.0
2,12:57:56.748963,12:58:12.195139,-1,-1.0
2,12:57:56.748963,12:58:12.320765,-1,-1.0
2,12:57:56.748963,12:58:12.398344,-1,-1.0
2,12:57:56.748963,12:58:12.494651,-1,-1.0
2,12:57:56.748963,12:58:12.595203,-1,-1.0
2,12:57:56.748963,12:58:12.695232,-1,-1.0
2,12:57:56.748963,12:58:12.798193,-1,-1.0
2,12:57:56.748963,12:58:12.895184,-1,-1.0
2,12:57:56.748963,12:58:12.994869,-1,-1.0
2,12:57:56.748963,12:58:13.095112,-1,-1.0
2,12:57:56.748963,12:58:13.194889,-1,-1.0
2,12:57:56.748963,12:58:13.294196,-1,-1.0
2,12:57:56.748963,12:58:13.394294,-1,-1.0
2,12:57:56.748963,12:58:13.491874,-1,-1.0
2,12:57:56.748963,12:58:13.592303,-1,-1.0
2,12:57:56.748963,12:58:13.692024,-1,-1.0
2,12:57:56.748963,12:58:13.792116,-1,-1.0
2,12:57:56.748963,12:58:13.891886,-1,-1.0
2,12:57:56.748963,12:58:22.961549,-1,-1.0
2,12:57:56.748963,12:58:23.061570,-1,-1.0
2,12:57:56.748963,12:58:23.163950,-1,-1.0
2,12:57:56.748963,12:58:23.261021,-1,-1.0
